cnpj;optante_simples;optante_simei
37672198000160;SIM;SIM
37682133000103;SIM;SIM
37693907000193;SIM;SIM
37707299000129;SIM;SIM
37720454000147;SIM;SIM
37726919000177;SIM;SIM
37755937000187;SIM;SIM
37796809000181;SIM;SIM
37865118000192;SIM;SIM
37896825000146;SIM;SIM
37897668000193;SIM;NÃO
37902518000120;NÃO INFORMADO;NÃO INFORMADO
37904990000100;SIM;SIM
37908854000180;SIM;SIM
38017160000116;SIM;SIM
38059854000116;SIM;SIM
38060379000106;SIM;SIM
38076077000118;SIM;NÃO
38084561000199;SIM;NÃO
38099832000180;SIM;NÃO
38107857000188;SIM;SIM
38139584000153;SIM;SIM
38160295000136;SIM;SIM
38161024000103;SIM;SIM
38168107000116;SIM;SIM
38193436000117;SIM;NÃO
38313130000157;NÃO INFORMADO;NÃO INFORMADO
38315733000198;SIM;SIM
38353747000104;SIM;SIM
38367379000145;SIM;SIM
38409911000140;SIM;SIM
38453159000134;SIM;SIM
38457137000142;SIM;NÃO
38498137000190;SIM;SIM
38539966000174;SIM;SIM
38662999000107;SIM;SIM
39154329000142;SIM;SIM
39229677000131;SIM;SIM
39258846000161;SIM;SIM
39287390000168;SIM;NÃO
39299268000101;SIM;NÃO
39309160000152;SIM;SIM
39316254000159;NÃO INFORMADO;NÃO INFORMADO
39353227000156;SIM;SIM
39404254000100;SIM;NÃO
39447591000185;SIM;SIM
39461552000132;SIM;SIM
39465123000133;SIM;SIM
39465712000111;SIM;SIM
39466466000112;SIM;SIM
39484812000195;NÃO INFORMADO;NÃO INFORMADO
39499548000163;SIM;SIM
39502696000190;SIM;SIM
39525645000183;SIM;SIM
39539504000110;SIM;SIM
39584882000115;SIM;NÃO
39618845000180;SIM;SIM
39691599000192;SIM;SIM
39729042000101;SIM;SIM
39803229000108;SIM;SIM
39806358000141;NÃO INFORMADO;NÃO INFORMADO
